"IdReferencia","Descripcion","seleccion","usuario","feccre","fecultmod","deleted_at"
"159","B21 Pago deudas comerciales impo bienes de capital sin r i a",,"2","2021-10-29 16:51:30",,
"160","A15 Ingreso de divisas vinculadas a exportaciones de bienes pendientes de liquidación",,"2","2022-07-05 10:21:00",,
"161","B22 Pagos diferidos de importaciones de bienes de capital",,"2","2022-07-05 10:21:49",,
"162","S31 Servicios de fletes por operaciones de exportaciones de bienes",,"2","2024-02-05 13:04:41",,
"163","S27 Otros servicios de salud",,"2","2024-02-05 13:06:55",,
"164","S28 Enseñanzas Educativas",,"2","2024-02-05 13:07:14",,
"165","S29 Operaciones por retiro o consumo con tarjcred resid con prov no resid o de no resid con prov arg",,"2","2024-02-05 13:14:37",,
"166","S30 Servicios de fletes por operaciones de importaciones de bienes",,"2","2024-02-05 13:15:18",,
"167","S32 Ingresos por cobros de exportaciones de servicios no liquidados (Decreto 549/23)",,"2","2024-02-05 13:17:12",,
"168","S33 Registgro de importaciones de servicios por adjudicación de bonos BOPREAL",,"2","2024-02-05 13:17:48",,
"169","P14 Depósitos locales de no residentes asociados a ingresos destinados a viajes",,"2","2024-02-05 13:23:07",,
"170","P15 Compra de residentes para su entrega a la entidad en pago saldo mon ext por uso tarj credito",,"2","2024-02-05 13:24:30",,
"171","P16 Pagos de principal de deudas financieras con el exterior originadas en importaciones de servicio",,"2","2024-02-05 13:26:17",,
"172","P17 Registro de refinanciación de deuda comercial en el marco del pto 20 Com A 7626",,"2","2024-02-05 13:27:36",,
"173","P18 Registro de endeudamineto financiero habilitado para aplicar div de expo Com A 7770 y compl",,"2","2024-02-05 13:28:39",,
"174","P19 Registro de endeudamiento financiero con el exterior asociados a la impo de BK -Decreto 234/21-",,"2","2024-02-05 13:30:37",,
"175","P20 Registro de aporte de inversión directa en especie por BK (marco Decreto 234/21)",,"2","2024-02-05 13:31:41",,
"176","A20 Billetes en moneda extranjera por instruccion judicial",,"2","2024-02-05 13:32:58",,
"177","A21 Billetes en moneda extranjera de repr dipl/ cons/ org int/ pers diplom",,"2","2024-02-05 13:34:24",,
"178","A22 Acreditación de cobros de exportaciones de bienes y servicios",,"2","2024-02-05 13:35:23",,
"179","A23 Constitución de depósitos en el exterior para afectar al pago de impo. de combustibles o energia",,"2","2024-02-05 13:36:45",,
"180","B23 Reg de financ.de impo bienes elegible para aplicar cobros en div por expo bs. Com A7770 y compl.",,"2","2024-02-05 13:42:34",,
"181","B24 Reg. de financiac. de impo de BK computable en el marco del Decreto 234/21",,"2","2024-02-05 13:49:29",,
"182","B25 Ingresos por cobros de expo bienes no liqjuidados . Decreto 443/23 y compl -",,"2","2024-02-05 13:50:33",,
"183","B26 Registro de importaciones de bienes por adjudicación bonos BOPREAL ",,"2","2024-02-05 13:51:28",,
