"id","entidad_id","honorario_producto_id","honorario_id","producto_id","importe","created_at","updated_at"
"288","1209","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"289","1210","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"290","1211","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"291","1212","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"292","1213","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"293","1214","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"294","1215","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"295","1216","8","2","9","2450","2026-6-25 14:04:04","2026-6-25 14:04:04"
"296","1217","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"297","1218","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"298","1219","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"299","1057","3","3","3","175","2026-6-25 14:04:04","2026-6-25 14:04:04"
"300","1089","48","8","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"301","1220","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"302","1221","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"303","1022","12","3","7","110","2026-6-25 14:04:04","2026-6-25 14:04:04"
